distance,bodyCount,name,id,id64,coords,coordsLocked,requirePermit,information,primaryStar,duplicates,anchor_system,anchor_description,permitName
56.67,11.0,DM99 183,18581333,5073563362129.0,"{'x': 348.78125, 'y': -311.75, 'z': -1491.375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 183', 'isScoopable': True}",,2MASS J05355200+0950293,,
50.13,3.0,DM99 35.2,20128365,62248704877417.0,"{'x': 388.1875, 'y': -315.4375, 'z': -1435.34375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 35.2 A', 'isScoopable': True}","[1706721, 16186293]",2MASS J05355200+0950293,,
52.04,10.0,BSM2011 e065,1706738,49054565344105.0,"{'x': 388.3125, 'y': -313.375, 'z': -1433.65625}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'BSM2011 e065', 'isScoopable': True}",,2MASS J05355200+0950293,,
54.73,13.0,DM99 15.1,17022526,7273123488617.0,"{'x': 388.46875, 'y': -320.84375, 'z': -1429.84375}",True,False,"{'allegiance': 'Independent', 'government': 'Democracy', 'faction': 'The Dark Wheel', 'factionState': 'None', 'population': 48748, 'security': 'Low', 'economy': 'Service', 'secondEconomy': 'None', 'reserve': None}","{'type': 'M (Red dwarf) Star', 'name': 'DM99 15.1 A', 'isScoopable': True}",[1659821],2MASS J05355200+0950293,,
66.33,3.0,2MASS J05365025+0954237,47419269,5074100298609.0,"{'x': 388.53125, 'y': -303.6875, 'z': -1420.875}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05365025+0954237 A', 'isScoopable': True}",,2MASS J05355200+0950293,,
36.59,1.0,HD 245140,54383,3923243573.0,"{'x': 388.90625, 'y': -319.6875, 'z': -1449.0625}",True,False,{},"{'type': 'B (Blue-White) Star', 'name': 'HD 245140', 'isScoopable': True}",,2MASS J05355200+0950293,,
44.72,1.0,DM99 7.3,32130553,5074100167529.0,"{'x': 388.90625, 'y': -326.09375, 'z': -1440.21875}",True,False,"{'allegiance': 'Independent', 'government': 'Democracy', 'faction': 'The Dark Wheel', 'factionState': 'None', 'population': 35603, 'security': 'Low', 'economy': 'High Tech', 'secondEconomy': 'Colony', 'reserve': None}","{'type': 'M (Red dwarf) Star', 'name': 'DM99 7.3', 'isScoopable': True}",[1706047],2MASS J05355200+0950293,,
56.04,12.0,2MASS J05360698+0952515,20127191,11671169999721.0,"{'x': 389.125, 'y': -310, 'z': -1429.9375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05360698+0952515', 'isScoopable': True}",,2MASS J05355200+0950293,,
25.9,54.0,DM99 9.4,18178540,909157077426.0,"{'x': 389.34375, 'y': -323.84375, 'z': -1460.71875}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'None', 'population': 92273, 'security': 'Low', 'economy': 'Industrial', 'secondEconomy': 'None', 'reserve': 'Pristine'}","{'type': 'K (Yellow-Orange) Star', 'name': 'DM99 9.4 A', 'isScoopable': True}","[1660512, 18178538, 19966131]",2MASS J05355200+0950293,,
71.2,21.0,DM99 43.2,20094787,71044797899633.0,"{'x': 389.34375, 'y': -311.6875, 'z': -1413.625}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 43.2', 'isScoopable': True}",[2615323],2MASS J05355200+0950293,,
32.89,27.0,BSM2011 w042w,17238308,7273123423073.0,"{'x': 389.375, 'y': -328.96875, 'z': -1453.21875}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'None', 'population': 5213164, 'security': 'Low', 'economy': 'Extraction', 'secondEconomy': 'Tourism', 'reserve': 'Pristine'}","{'type': 'M (Red dwarf) Star', 'name': 'BSM2011 w042w', 'isScoopable': True}",,2MASS J05355200+0950293,,
30.71,28.0,DM99 33.3,13132077,55651635110753.0,"{'x': 389.5, 'y': -317.53125, 'z': -1455.71875}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 33.3', 'isScoopable': True}","[1662776, 3374547, 19962502]",2MASS J05355200+0950293,,
63.05,2.0,DM99 55.1,13132264,18268239766385.0,"{'x': 389.5, 'y': -309.625, 'z': -1422.5}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 55.1 A', 'isScoopable': True}","[1705681, 10820656]",2MASS J05355200+0950293,,
